PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\28-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 28-007-2026 12'20'52.isi
28/07/2026 12:20:52
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
18147 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
20,409	1785234072,915	28/07/2026_12:21:12,915	1	2	2,628807351e-06	1,696647701e-06	6,829747271e-13	5,07515167e-12	5,879465209e-13	9,193500995e-13	5,23548262e-12	1,49604322e-11	5,496876554e-14	1,484447737e-13	1,982484663e-11	7,176828034e-13	4,180575835e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,09575107e-12	1,599623889e-13	1,007598952e-13	4,773532101e-14	4,999999912e-15	1,878655564e-10	6,603562835e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,339256597e-08	68,37793497	2,210459599	0	29,96315283	0,04976766049	0,05999433051	0
21,217	1785234073,723	28/07/2026_12:21:13,723	1	2	2,615414587e-06	1,674682835e-06	6,080014422e-13	4,917971846e-12	3,613192102e-13	7,617665179e-13	4,469544526e-12	1,409411043e-11	1,687480857e-13	1,509283556e-13	1,971757306e-11	5,644456257e-13	4,999999912e-15	4,882188471e-14	9,750018718e-14	9,604108145e-14	7,012706388e-12	4,056396061e-14	4,999999912e-15	4,999999912e-15	5,375801665e-14	1,893147167e-10	6,639996886e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,959627654e-08	68,67570111	1,86700493	0	30,02676089	0,04416242349	0,07389618426	0,01865204587
22,025	1785234074,531	28/07/2026_12:21:14,531	1	2	2,644918368e-06	1,69339819e-06	5,299315132e-13	4,997966017e-12	4,362692119e-13	7,354172609e-13	3,852986506e-12	1,322579459e-11	7,47792619e-15	1,197981466e-13	1,999194039e-11	6,908368192e-13	7,546611583e-14	2,07961598e-14	4,999999912e-15	4,999999912e-15	6,995468007e-12	9,381361519e-14	1,024751234e-13	7,577657035e-14	3,200334759e-14	1,893857154e-10	6,670256014e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,755123556e-08	68,85160805	1,572123041	0	30,2240496	0,03857082773	0,04520905811	0
22,833	1785234075,339	28/07/2026_12:21:15,339	1	2	2,610070624e-06	1,675322778e-06	6,033176346e-13	4,926683627e-12	2,723175418e-13	5,409795333e-13	3,46108797e-12	1,287880306e-11	1,387626721e-13	1,970958932e-13	1,98872533e-11	5,613139619e-13	4,999999912e-15	4,999999912e-15	6,108847694e-14	9,079838118e-14	7,091036092e-12	8,458941284e-14	4,999999912e-15	4,999999912e-15	5,993981895e-14	1,911829584e-10	6,622234705e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,760712719e-08	69,19439925	1,427519331	0	29,88037897	0,04372226328	0,09119658258	0,02357357779
23,641	1785234076,147	28/07/2026_12:21:16,147	1	2	2,615409812e-06	1,664443062e-06	4,425752028e-13	4,928584884e-12	3,568293393e-13	6,141600358e-13	3,176150965e-12	1,242333493e-11	4,999999912e-15	6,140669028e-14	1,993745793e-11	6,56132646e-13	8,040612718e-14	6,581504276e-14	8,940917261e-15	4,999999912e-15	6,940492452e-12	5,640847422e-14	6,929207913e-14	7,789149642e-14	8,928494337e-14	1,894067958e-10	6,646136419e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,861079881e-08	69,13126413	1,289228095	0	30,2343804	0,03234078178	0,02174479205	0,03460068009
24,449	1785234076,955	28/07/2026_12:21:16,955	1	2	2,616283382e-06	1,64415485e-06	5,561410707e-13	4,959680236e-12	2,632330118e-13	4,431068143e-13	2,873250249e-12	1,225158343e-11	1,245868101e-13	2,089977226e-13	1,998224503e-11	6,05968021e-13	4,999999912e-15	4,999999912e-15	1,614719575e-14	7,320760751e-14	7,099492001e-12	1,52682405e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	1,908766895e-10	6,592633384e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,414032297e-08	69,41288804	1,205335014	0	29,89223522	0,04049301019	0,09587148407	0
25,257	1785234077,763	28/07/2026_12:21:17,763	1	2	2,623659384e-06	1,650468789e-06	3,764962517e-13	4,887822785e-12	2,823062422e-13	5,377121274e-13	2,777022536e-12	1,20172379e-11	1,109852871e-14	5,313323837e-14	1,994447489e-11	6,12561217e-13	5,993206013e-14	8,98282303e-14	2,84836377e-14	4,999999912e-15	6,949961006e-12	2,99737855e-14	2,469616545e-14	6,073922832e-14	9,845870321e-14	1,920627962e-10	6,649090306e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,958220456e-08	69,5241004	1,118812812	0	30,0036243	0,02728945655	0,01932817109	0,04277140938
26,065	1785234078,571	28/07/2026_12:21:18,571	1	2	2,609586545e-06	1,686275482e-06	5,10703025e-13	4,99779905e-12	2,723097897e-13	3,739195639e-13	2,485620217e-12	1,180329272e-11	7,66031322e-14	2,021174027e-13	2,006376662e-11	6,48014357e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	3,509618675e-14	7,083624486e-12	1,591203162e-13	4,751412344e-14	4,999999912e-15	4,999999912e-15	1,911699132e-10	6,579511935e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,187435951e-08	69,60256475	1,045548143	0	29,87060277	0,03722812922	0,0886288498	0
26,873	1785234079,379	28/07/2026_12:21:19,379	1	2	2,616536904e-06	1,657440407e-06	3,494600713e-13	4,834554198e-12	2,258705918e-13	4,492381673e-13	2,488247455e-12	1,17288514e-11	4,506546639e-14	5,596219966e-14	1,996732987e-11	5,835691088e-13	2,814602731e-14	8,362314476e-14	7,123626369e-14	1,873943844e-14	6,937904244e-12	4,999999912e-15	8,028974485e-15	1,206479849e-14	8,356106063e-14	1,905719471e-10	6,633680411e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,045239168e-08	69,48491286	1,016091215	0	30,14964462	0,0255113454	0,02459961617	0,03779002657
27,681	1785234080,187	28/07/2026_12:21:20,187	1	2	2,636666295e-06	1,669555104e-06	4,720211852e-13	4,994058118e-12	2,848208323e-13	3,809977236e-13	2,20575099e-12	1,142553933e-11	4,251590399e-14	1,617901505e-13	2,010421517e-11	6,920048844e-13	5,541502993e-15	4,999999912e-15	4,999999912e-15	9,080613323e-15	7,053045214e-12	1,667883767e-13	9,349151905e-14	4,999999912e-15	4,999999912e-15	1,907421304e-10	6,655561519e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,440348463e-08	69,4825131	0,8960983126	0	30,22491039	0,0344246316	0,06880100467	0
28,489	1785234080,995	28/07/2026_12:21:20,995	1	2	2,608692967e-06	1,674039368e-06	3,64458626e-13	4,841837868e-12	1,69248689e-13	3,720645753e-13	2,268314226e-12	1,147445854e-11	9,412018013e-14	9,914944842e-14	1,997687779e-11	5,731419571e-13	4,999999912e-15	5,242696875e-14	7,862880811e-14	5,785981774e-14	6,982954145e-12	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,375477047e-14	1,900988672e-10	6,662243673e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,092849201e-08	69,40028425	0,9136262175	0	30,31630269	0,02663922508	0,04818449817	0,03133623509
29,297	1785234081,803	28/07/2026_12:21:21,803	1	2	2,624245099e-06	1,652365313e-06	3,991551013e-13	4,926112903e-12	3,043751774e-13	4,0831333e-13	2,110687927e-12	1,123791598e-11	7,648671938e-15	1,327283146e-13	2,009053687e-11	7,050709842e-13	2,956632538e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,005511622e-12	1,246877086e-13	1,059676706e-13	4,800696109e-14	4,999999912e-15	1,9073218e-10	6,559334326e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,403050656e-08	69,79533687	0,8721042883	0	29,92497846	0,02924325612	0,05336699906	0
