Dauer (s);MFC-1 (mln/min);MFC-2 (mln/min);MFC-3 (mln/min);MFC-4 (mln/min);MFC-5 (mln/min);MFC-6 (mln/min);MFC-7 (mln/min);MFC-8 (mln/min);TIC-1 (°C);TIC-2 (°C);TIC-3 (°C);TIC-4 (°C);TIR-1 (°C);TIR-2 (°C);HIR-1 (°C);PIR-1 (bar)
300;0.00;104.99;0.00;104.96;0.00;0.00;58.95;17.20;31.98;180.07;455.00;180.59;484.65;475.19;80.49;0.12
305;0.00;104.98;0.00;104.99;0.00;0.00;59.02;17.22;31.97;180.07;455.19;180.49;487.23;477.65;80.49;0.08
310;0.00;105.04;0.00;104.91;0.00;0.00;58.99;17.20;31.97;180.06;455.43;180.43;490.67;481.23;80.49;0.07
315;0.00;105.01;0.00;104.98;0.00;0.00;59.03;17.23;31.97;180.04;455.81;180.35;491.59;482.33;80.49;0.06
320;0.00;105.02;0.00;105.00;0.00;0.00;59.01;17.23;31.97;180.00;456.83;180.27;492.07;483.03;80.49;0.08
325;0.00;104.97;0.00;105.00;0.00;0.00;59.00;17.19;31.96;180.00;457.59;180.12;492.05;483.36;80.49;0.09
330;0.00;105.00;0.00;104.97;0.00;0.00;58.99;17.22;31.96;180.02;458.46;180.09;491.68;483.23;80.49;0.08
335;0.00;105.00;0.00;105.03;0.00;0.00;58.97;17.20;31.96;180.03;459.12;180.07;491.14;482.88;80.49;0.07
340;0.00;105.03;0.00;104.94;0.00;0.00;59.00;17.22;31.95;180.05;459.52;180.08;490.47;482.38;80.49;0.06
345;0.00;105.00;0.00;104.99;0.00;0.00;59.02;17.20;31.94;180.05;459.69;180.16;488.83;481.08;80.49;0.06
350;0.00;105.01;0.00;104.99;0.00;0.00;59.01;17.19;31.95;180.05;459.86;180.23;487.92;480.32;80.49;0.08
355;0.00;104.95;0.00;104.99;0.00;0.00;59.01;17.22;31.95;180.03;460.29;180.31;486.97;479.51;80.49;0.08
360;0.00;105.00;0.00;104.97;0.00;0.00;58.99;17.20;31.93;180.01;461.38;180.44;485.98;478.66;80.49;0.09
365;0.00;105.00;0.00;104.99;0.00;0.00;59.01;17.17;31.93;180.00;461.45;180.50;483.95;476.87;80.49;0.08
370;0.00;105.05;0.00;104.92;0.00;0.00;59.00;17.22;31.92;180.00;461.19;180.53;482.89;475.92;80.49;0.06
375;0.00;105.03;0.00;105.00;0.00;0.00;59.03;17.22;31.92;180.02;460.73;180.53;481.83;474.99;80.49;0.06
380;0.00;105.01;0.00;105.00;0.00;0.00;59.01;17.22;31.92;180.03;460.66;180.47;479.68;474.03;80.49;0.08
385;0.00;104.96;0.00;104.99;0.00;0.00;58.99;17.19;31.91;180.04;460.87;180.41;478.61;472.10;80.49;0.08
390;0.00;104.97;0.00;104.97;0.00;0.00;58.97;17.19;31.90;180.06;461.15;180.33;477.54;471.10;80.49;0.08
395;0.00;105.01;0.00;104.98;0.00;0.00;59.00;17.20;31.90;180.03;460.85;180.24;476.47;470.14;80.49;0.07
400;0.00;105.02;0.00;104.91;0.00;0.00;58.98;17.22;31.90;180.02;460.23;180.07;474.31;468.17;80.49;0.06
405;0.00;105.01;0.00;104.99;0.00;0.00;59.03;17.20;31.89;180.02;459.76;180.00;473.26;467.20;80.49;0.07
410;0.00;104.99;0.00;104.99;0.00;0.00;58.99;17.22;31.90;180.03;459.32;179.94;472.21;466.24;80.49;0.08
415;0.00;104.96;0.00;105.01;0.00;0.00;59.02;17.22;31.89;180.04;459.24;179.89;471.16;465.27;80.49;0.09
420;0.00;104.99;0.00;104.98;0.00;0.00;58.97;17.17;31.89;180.04;459.33;179.91;469.09;463.37;80.49;0.08
425;0.00;104.99;0.00;104.99;0.00;0.00;58.98;17.19;31.88;180.04;459.08;179.94;468.07;462.39;80.49;0.07
430;0.00;105.02;0.00;104.94;0.00;0.00;59.01;17.20;31.89;180.04;457.51;179.98;467.05;461.45;80.49;0.06
435;0.00;105.00;0.00;104.99;0.00;0.00;59.01;17.22;31.89;180.05;456.89;180.12;465.01;460.51;80.49;0.06
440;0.00;105.01;0.00;105.01;0.00;0.00;59.01;17.22;31.88;180.04;456.39;180.19;464.01;458.66;80.49;0.08
445;0.00;104.93;0.00;104.99;0.00;0.00;59.02;17.22;31.88;180.04;456.22;180.26;463.04;457.74;80.49;0.08
450;0.00;105.00;0.00;104.97;0.00;0.00;58.98;17.17;31.89;180.03;456.11;180.35;462.13;456.86;80.49;0.08
455;0.00;105.01;0.00;104.99;0.00;0.00;59.00;17.22;31.89;180.02;455.49;180.37;460.61;455.36;80.49;0.07
460;0.00;105.03;0.00;104.94;0.00;0.00;58.99;17.20;31.88;180.03;454.57;180.37;459.97;454.73;80.49;0.06
465;0.00;105.02;0.00;104.99;0.00;0.00;59.02;17.22;31.89;180.05;453.79;180.35;459.52;454.24;80.49;0.06
470;0.00;104.99;0.00;104.99;0.00;0.00;59.02;17.23;31.88;180.05;452.84;180.25;459.44;454.01;80.49;0.08
475;0.00;104.98;0.00;105.00;0.00;0.00;59.00;17.17;31.89;180.05;452.82;180.18;461.06;454.99;80.49;0.08
480;0.00;105.00;0.00;104.99;0.00;0.00;58.99;17.20;31.88;180.04;452.91;180.10;462.77;456.27;80.49;0.08
485;0.00;105.02;0.00;104.99;0.00;0.00;58.99;17.19;31.89;180.03;452.39;180.02;464.94;457.99;80.49;0.07
490;0.00;105.02;0.00;104.92;0.00;0.00;59.02;17.20;31.89;180.04;451.92;179.89;470.01;460.09;80.49;0.06
495;0.00;105.03;0.00;104.99;0.00;0.00;59.01;17.20;31.89;180.03;451.71;179.85;472.85;464.77;80.49;0.07
500;0.00;105.00;0.00;105.01;0.00;0.00;59.02;17.20;31.90;180.04;451.69;179.82;475.81;467.34;80.49;0.08
