PV MassSpec-23.06.00
EXPORTED SCAN DATA
Run Path and Name: c:\Pfeiffer Vacuum\data\28-007-2026\MCD 256_New_Calibrattion by Amir for_WGS and DRM_PUSLSING_32ms, Position 1, RGA PrismaPro A 100 47507368, 28-007-2026 12'13'44.isi
28/07/2026 12:13:44
SensorID:  RGA PrismaPro A 100 47507368
50 Bins
517 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure_(mBar)	External_Pressure_(mBar)	2_amu_(_)	12_amu_(_)	13_amu_(_)	14_amu_(_)	15_amu_(_)	16_amu_(_)	17_amu_(_)	18_amu_(_)	20_amu_(_)	22_amu_(_)	24_amu_(_)	25_amu_(_)	26_amu_(_)	27_amu_(_)	28_amu_(_)	29_amu_(_)	30_amu_(_)	31_amu_(_)	32_amu_(_)	40_amu_(_)	44_amu_(_)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Digital_In_13	Periph:_Digital_In_14	Periph:_Digital_In_15	Periph:_Digital_In_16	Periph:_Digital_In_17	Periph:_Digital_Out_2	Periph:_Digital_Out_3	Periph:_Digital_Out_4	Periph:_Digital_Out_5	Periph:_Digital_Out_6	Periph:_Digital_Out_7	Periph:_Digital_Out_8	Periph:_Digital_Out_9	Periph:_Digital_Out_10	Periph:_Digital_Out_11	Sig:_MCD	Sig:_MCD_Ar	Sig:_MCD_CH4	Sig:_MCD_CO	Sig:_MCD_CO2	Sig:_MCD_H2	Sig:_MCD_H2O	Sig:_MCD_O2
18,277	1785233642,533	28/07/2026_12:14:02,533	1	2	3,206757356e-06	2,819352403e-06	1,273287205e-11	8,982733828e-12	1,180893144e-11	2,379078011e-11	1,418257456e-10	1,800087579e-10	1,96470726e-12	1,174464985e-13	3,896674216e-12	7,484638452e-13	1,086956893e-14	4,999999912e-15	4,999999912e-15	8,230758062e-15	7,581928141e-12	1,95834695e-13	9,385241607e-14	2,34427261e-14	4,999999912e-15	3,679912278e-11	7,13156964e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,094647304e-08	12,43200928	57,365645	0	30,01796285	0,8611707107	0,04052741214	0
19,085	1785233643,341	28/07/2026_12:14:03,341	1	2	3,211599278e-06	2,809646276e-06	1,234507548e-11	8,815510821e-12	1,171838928e-11	2,378817282e-11	1,414596218e-10	1,797235416e-10	2,037212629e-12	1,060064647e-13	3,70075021e-12	6,113543374e-13	4,999999912e-15	3,686961625e-14	7,694850481e-14	9,181898135e-14	7,607152755e-12	8,13879129e-14	4,999999912e-15	4,999999912e-15	6,530668747e-14	3,668533879e-11	7,23433119e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,997776954e-08	12,3632673	57,10612599	0	30,38307366	0,8332915257	0,04359077051	0,001461469815
19,893	1785233644,149	28/07/2026_12:14:04,149	1	2	3,209911938e-06	2,805336635e-06	1,20151545e-11	8,952612089e-12	1,182241371e-11	2,388375435e-11	1,421557733e-10	1,810610689e-10	1,947438738e-12	4,977651117e-14	3,807971299e-12	7,557361312e-13	6,567146729e-14	4,999999912e-15	4,999999912e-15	4,999999912e-15	7,555424168e-12	1,541492628e-13	1,019007944e-13	7,861717326e-14	1,33298693e-14	3,634375093e-11	7,256998474e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,376978656e-08	12,21874597	57,32090244	0	30,40855606	0,8087801341	0,01186397101	0
20,701	1785233644,957	28/07/2026_12:14:04,957	1	2	3,218736083e-06	2,812874527e-06	1,175347319e-11	8,905497867e-12	1,168598204e-11	2,390176772e-11	1,419838552e-10	1,806054334e-10	2,057411099e-12	1,432020599e-13	3,73147303e-12	5,886023006e-13	4,999999912e-15	1,576300871e-14	6,468966801e-14	9,970825299e-14	7,68338778e-12	1,26934555e-13	4,999999912e-15	4,999999912e-15	4,51624686e-14	3,614425079e-11	7,243981109e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,639319703e-08	12,16835562	57,29226815	0	30,39292111	0,7923654922	0,05894046101	0
21,509	1785233645,765	28/07/2026_12:14:05,765	1	2	3,207849886e-06	2,825841648e-06	1,138740838e-11	8,935006381e-12	1,184224767e-11	2,400383017e-11	1,424047408e-10	1,808651839e-10	1,923359692e-12	3,698215643e-14	3,707956685e-12	7,32355474e-13	9,016196128e-14	3,468483367e-14	4,999999912e-15	4,999999912e-15	7,533610888e-12	1,17357228e-13	9,829571375e-14	9,581212505e-14	7,259058128e-14	3,598270987e-11	7,195139623e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,508600218e-08	12,14147523	57,56090588	0	30,25473637	0,7694437366	0,004551546974	0,006736688146
22,317	1785233646,573	28/07/2026_12:14:06,573	1	2	3,20968843e-06	2,822592023e-06	1,125119529e-11	8,950525217e-12	1,176345219e-11	2,386488403e-11	1,42367354e-10	1,806658573e-10	2,067652039e-12	1,799087002e-13	3,760883532e-12	6,188205872e-13	4,999999912e-15	4,999999912e-15	3,859260323e-14	8,398015898e-14	7,635420074e-12	1,810883935e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	3,591266867e-11	7,248133344e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,656550295e-08	12,10002352	57,40582848	0	30,42285634	0,7590031815	0,07385970572	0
23,125	1785233647,381	28/07/2026_12:14:07,381	1	2	3,237816145e-06	2,811797003e-06	1,087625563e-11	8,917124851e-12	1,182349618e-11	2,401925707e-11	1,424137336e-10	1,806470251e-10	1,930189081e-12	1,908480765e-14	3,665176669e-12	6,919506201e-13	8,61726936e-14	8,0056865e-14	2,870870452e-14	4,999999912e-15	7,531236919e-12	9,331300516e-14	3,057139774e-14	6,627296232e-14	8,853210726e-14	3,575914564e-11	7,160663035e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	3,576018673e-08	12,09915882	57,68991142	0	30,18971281	0,7369605579	0	0,008981692355
23,933	1785233648,189	28/07/2026_12:14:08,189	1	2	3,228233254e-06	2,825841648e-06	1,098260718e-11	8,910085343e-12	1,258329552e-11	2,56249813e-11	1,535776228e-10	1,934851585e-10	2,193550463e-12	1,666021243e-13	3,435033508e-12	6,285182336e-13	4,999999912e-15	4,999999912e-15	6,907470252e-15	6,406101371e-14	7,357035987e-12	1,859119954e-13	4,242276425e-14	4,999999912e-15	4,999999912e-15	3,465511211e-11	6,960981097e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,114840307e-08	11,34987482	60,17754275	0	28,40420855	0,7205482694	0,06386908944	0
24,741	1785233648,997	28/07/2026_12:14:08,997	1	2	3,146247309e-06	2,759479457e-06	9,958144552e-12	8,324889389e-12	1,088354407e-11	2,178807308e-11	1,274740036e-10	1,588034426e-10	1,669327437e-12	1,043105913e-14	5,026578112e-12	5,888584433e-13	4,060663752e-14	8,090284085e-14	6,587714044e-14	4,999999912e-15	6,562211278e-12	3,455289982e-14	1,754032608e-14	4,690874561e-14	1,160455873e-13	1,08586716e-10	6,248806333e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2,809145707e-08	32,07443667	44,87481992	0	23,078329	0,592168709	0	0
25,549	1785233649,805	28/07/2026_12:14:09,805	1	2	2,710552053e-06	2,258237373e-06	8,408971436e-12	5,815206823e-12	3,505252946e-12	6,443119042e-12	3,559897169e-11	4,845646107e-11	4,403205231e-13	1,823069012e-13	1,640750209e-11	6,783102183e-13	4,999999912e-15	4,999999912e-15	4,999999912e-15	2,155675134e-14	7,060213091e-12	1,751045191e-13	9,001062021e-14	1,953883934e-14	4,999999912e-15	1,785102344e-10	6,775564138e-11	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	4,594332778e-08	58,93038792	13,43922034	0	27,83656802	0,5564750689	0,06490733291	0
